Plot_Nr	CS_SLA	CS_LDMC	MPD_2_ab	MPD_2_pre	MPD_SLA_ab	MPD_SLA_pre	Block	SD	FC	Ni	Fz	Comb
1	23.64428745	209.7245531	0.12700174	0.163180991	0.122537886	0.122414008	1	4	M	1	1	41M
2	16.96038906	208.1591586	0.179811173	0.193526577	0.16601916	0.137637198	1	4	M	0	1	42M
3	21.78135733	221.0193161	0.147763817	0.179378173	0.091879416	0.106379933	1	8	M	1	0	85M
4	24.32105587	279.9987499	0	0	0	0	1	1	F	1	0	Dg
5	21.30737007	286.5898611	0.181870185	0.280001989	0.171291299	0.195683072	1	4	M	0	0	43M
6	14.45183452	186.3575251	0	0	0	0	1	1	S	0	0	Pm
7	25.7568428	289.7391065	0.097871293	0.101220297	0.108366622	0.123251646	1	4	F	1	1	47F
8	23.32698458	294.7903709	0	0	0	0	1	1	S	1	0	Ao
9	21.55772279	225.3942044	0.163413717	0.126576348	0.034864539	0.041277505	1	4	F	0	1	44F
10	22.70138939	210.3113796	0.117962636	0.169843167	0.130438839	0.143649555	1	4	S	1	0	47S
11	16.65067522	220.2078949	0.109178956	0.211679981	0.086689636	0.118277474	1	8	S	0	1	83S
12	24.33957444	189.476496	0.174342176	0.245452174	0.155547858	0.132580812	1	8	F	0	1	85F
13	22.88783943	186.7462249	0.160727692	0.195754108	0.145417113	0.105200185	1	4	F	0	1	41F
14	15.61326365	233.82627	0.150067629	0.13626937	0.118970883	0.093377571	1	4	M	1	0	46M
15	19.37800849	225.7113477	0.090460725	0.134706449	0.053603867	0.062269862	1	4	S	0	0	42S
16	15.36310638	259.6447988	0	0	0	0	1	1	S	1	1	Dc
17	33.69950613	115.5105504	0	0	0	0	1	1	F	1	0	Ra
18	20.56353602	227.06673	0.133572873	0.226275569	0.089316012	0.163740541	1	8	M	0	0	83M
19	22.67217567	238.9792735	0.15174789	0.252109034	0.0998167	0.221620477	1	4	F	1	0	48F
20	36.77678249	336.4273635	0	0	0	0	1	1	F	1	1	Pt
21	17.23897944	226.22006	0.162789935	0.221099644	0.164044807	0.171568193	1	20	M	0	0	20sp
22	20.75183722	211.3304877	0.143154388	0.163277638	0.119588807	0.105972811	1	4	S	1	0	43S
23	17.23186721	221.1202649	0.154701625	0.231451661	0.161599279	0.13023501	1	4	S	0	1	44S
24	21.42684757	221.2070316	0.192205905	0.210933551	0.110571075	0.181503131	1	4	F	1	0	49F
25	18.55085058	228.1366165	0.149270586	0.161533973	0.105498571	0.104854344	1	4	S	1	0	48S
26	23.2742942	301.0729949	0	0	0	0	1	1	F	1	1	Hl
27	21.92897473	277.9666917	0.286386632	0.323539376	0.270845647	0.291883974	1	4	F	0	0	45F
28	19.91597958	217.895267	0.184305223	0.205284308	0.146275887	0.109138714	1	8	S	1	0	85S
29	15.83319238	222.9637729	0.11761818	0.186184952	0.123696211	0.099670002	1	8	S	0	1	89S
30	15.09002877	231.4447378	0	0	0	0	1	1	S	1	0	Am
31	15.28445319	245.7621057	0	0	0	0	1	1	F	0	1	As
32	20.92585676	283.1936419	0	0	0	0	1	1	F	1	0	Lp
33	19.37962819	241.524666	0.348144657	0.386205808	0.225643087	0.322366496	1	4	M	0	1	45M
34	21.20742322	231.8011207	0.152229428	0.196327854	0.117931858	0.15137225	1	8	M	1	0	81M
35	20.94892413	230.8527979	0.191227436	0.232919545	0.113736724	0.163172881	1	8	M	0	0	810M
36	21.66554456	221.778844	0.141416415	0.209459199	0.049013086	0.172941061	1	8	F	0	1	83F
37	15.01738392	248.2858548	0.223461468	0.20008433	0.067615938	0.148142668	1	4	S	0	0	49S
38	20.97472891	212.7001942	0.181774824	0.187969102	0.107932178	0.126066512	1	4	M	0	0	44M
39	17.37920138	233.1152187	0.219160978	0.221470183	0.12077605	0.114649726	1	4	M	0	1	49M
40	24.72837749	220.4283712	0.207471975	0.282474975	0.145782988	0.222738652	1	8	F	1	0	87F
41	18.89921719	232.2572127	0.191093896	0.193521743	0.168104946	0.127852459	1	8	S	1	1	82S
42	19.48480231	204.3030428	0.164862048	0.244991511	0.176297008	0.123798665	1	4	S	1	0	45S
43	19.19527319	233.4563527	0.164843509	0.188098009	0.150233589	0.148755771	1	20	M	1	0	20sp
44	15.86475028	221.8198708	0.138206134	0.226888585	0.106232823	0.174533761	1	8	M	0	1	87M
45	16.91469544	329.8730613	0	0	0	0	1	1	S	1	1	Be
46	15.84227567	267.337076	0.164839809	0.161482208	0.127679762	0.170519143	1	4	S	0	0	410S
47	15.70117706	211.791396	0	0	0	0	1	1	S	0	1	Pg
48	22.3238016	224.0632789	0.150121037	0.185238785	0.083361122	0.122248571	1	8	F	1	1	82F
49	16.67518934	221.7089244	0.139006501	0.192671635	0.105710956	0.132367336	1	8	M	0	1	89M
50	17.23746352	239.4211203	0.15451583	0.164933522	0.080799979	0.088113875	1	8	S	1	1	88S
51	19.37858404	231.3579246	0.14168859	0.179185235	0.118806	0.121639177	1	8	S	1	1	84S
52	20.76206832	212.8257188	0	0	0	0	1	1	F	1	0	To
53	27.19734752	194.4483516	0.257694359	0.257036865	0.171012018	0.14474135	1	4	F	0	1	46F
